Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng,NEW_Country,NEW_City
United States of America,Santa Fe,110,Unhealthy for Sensitive Groups,2,Good,17,Good,7,Good,110,Unhealthy for Sensitive Groups,11.1856,124.9161,Philippines,Santa Fe
United States of America,Santa Fe,110,Unhealthy for Sensitive Groups,2,Good,17,Good,7,Good,110,Unhealthy for Sensitive Groups,16.1592,120.9378,Philippines,Santa Fe
United States of America,Santa Fe,110,Unhealthy for Sensitive Groups,2,Good,17,Good,7,Good,110,Unhealthy for Sensitive Groups,12.15,122.0,Philippines,Santa Fe
United States of America,Santa Fe,110,Unhealthy for Sensitive Groups,2,Good,17,Good,7,Good,110,Unhealthy for Sensitive Groups,29.3889,-95.1003,United States,Santa Fe
Uruguay,Rivera,13,Good,0,Good,13,Good,1,Good,13,Good,-30.9025,-55.5506,Uruguay,Rivera
Uruguay,Rivera,13,Good,0,Good,13,Good,1,Good,13,Good,2.7853,-75.2589,Colombia,Rivera
United States of America,Riverview,88,Moderate,2,Good,33,Good,12,Good,88,Moderate,27.8227,-82.3023,United States,Riverview
United States of America,Riverview,88,Moderate,2,Good,33,Good,12,Good,88,Moderate,46.0613,-64.8052,Canada,Riverview
United States of America,Riverview,88,Moderate,2,Good,33,Good,12,Good,88,Moderate,42.1723,-83.1946,United States,Riverview
Iran (Islamic Republic of),Taft,96,Moderate,0,Good,40,Good,0,Good,96,Moderate,11.9058,125.4181,Philippines,Taft
Iran (Islamic Republic of),Taft,96,Moderate,0,Good,40,Good,0,Good,96,Moderate,31.7492,54.2103,Iran,دهستان پیشکوه
Iran (Islamic Republic of),Taft,96,Moderate,0,Good,40,Good,0,Good,96,Moderate,35.1268,-119.4243,United States,Taft
