Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng,NEW_Country,NEW_City
Brazil,Bom Jesus,24,Good,0,Good,11,Good,0,Good,24,Good,-9.0739,-44.3589,Brazil,Bom Jesus
Brazil,Bom Jesus,24,Good,0,Good,11,Good,0,Good,24,Good,-18.215,-49.7419,Brazil,Bom Jesus de Goiás
Brazil,Bom Jesus,24,Good,0,Good,11,Good,0,Good,24,Good,-28.6678,-50.4169,Brazil,Bom Jesus
Brazil,Bom Jesus,24,Good,0,Good,11,Good,0,Good,24,Good,-5.9839,-35.5808,Brazil,Bom Jesus
El Salvador,Aguilares,146,Unhealthy for Sensitive Groups,5,Good,0,Good,13,Good,146,Unhealthy for Sensitive Groups,-27.4333,-65.6167,Argentina,Municipio de Aguilares
El Salvador,Aguilares,146,Unhealthy for Sensitive Groups,5,Good,0,Good,13,Good,146,Unhealthy for Sensitive Groups,13.95,-89.1833,El Salvador,Aguilares
China,Altay,53,Moderate,0,Good,37,Good,0,Good,53,Moderate,47.8666,88.1166,China,Altay City
China,Altay,53,Moderate,0,Good,37,Good,0,Good,53,Moderate,46.3728,96.2572,Mongolia,Altai
United States of America,Altoona,40,Good,1,Good,38,Good,3,Good,40,Good,40.5082,-78.4007,United States,Altoona
United States of America,Altoona,40,Good,1,Good,38,Good,3,Good,40,Good,41.6483,-93.4783,United States,Altoona
Colombia,Socorro,56,Moderate,2,Good,3,Good,4,Good,56,Moderate,13.0583,121.4117,Philippines,Socorro
Colombia,Socorro,56,Moderate,2,Good,3,Good,4,Good,56,Moderate,-22.5908,-46.5289,Brazil,Socorro
Colombia,Socorro,56,Moderate,2,Good,3,Good,4,Good,56,Moderate,31.6383,-106.2601,United States,Socorro
Colombia,Socorro,56,Moderate,2,Good,3,Good,4,Good,56,Moderate,6.5333,-73.2,Colombia,Pinchote
Colombia,Socorro,56,Moderate,2,Good,3,Good,4,Good,56,Moderate,9.6181,125.9661,Philippines,Socorro
Colombia,Socorro,56,Moderate,2,Good,3,Good,4,Good,56,Moderate,34.0543,-106.9065,United States,Socorro
Azerbaijan,Salyan,65,Moderate,1,Good,40,Good,0,Good,65,Moderate,39.595,48.9792,Azerbaijan,Salyan
Azerbaijan,Salyan,65,Moderate,1,Good,40,Good,0,Good,65,Moderate,28.35,82.1833,Nepal,Salyan Khalanga
United States of America,Sanger,56,Moderate,2,Good,10,Good,15,Good,56,Moderate,36.699,-119.5575,United States,Sanger
United States of America,Sanger,56,Moderate,2,Good,10,Good,15,Good,56,Moderate,33.3715,-97.1678,United States,Sanger
Brazil,Alenquer,16,Good,0,Good,11,Good,0,Good,16,Good,-1.9419,-54.7378,Brazil,Alenquer
Brazil,Alenquer,16,Good,0,Good,11,Good,0,Good,16,Good,39.05,-9.0167,Portugal,Alenquer
Romania,Slatina,49,Good,1,Good,49,Good,0,Good,42,Good,44.4297,24.3642,Romania,Slatina
Romania,Slatina,49,Good,1,Good,49,Good,0,Good,42,Good,45.7022,17.7011,Croatia,Slatina
United States of America,Martinsville,55,Moderate,1,Good,45,Good,1,Good,55,Moderate,36.6826,-79.8636,United States,Martinsville
